                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        7623      1.3999999999999999E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62 
                             star_age_hr                             model_number                                 star_age                                star_mass                                   log_dt                                num_zones                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                            envelope_mass                   envelope_fraction_left                                   log_LH                                  log_LHe                                    log_L                                 log_Lneu                                 log_Teff                                    log_R                                    log_g                             log_center_T                           log_center_Rho                             log_center_P                        center_degeneracy                                center_ye                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                       log_total_mass_he4                                max_eps_h                            max_eps_h_lgT                          max_eps_h_lgRho                              max_eps_h_m                            max_eps_h_lgR                               max_eps_he                           max_eps_he_lgT                         max_eps_he_lgRho                             max_eps_he_m                           max_eps_he_lgR                        v_div_csound_surf                              num_retries                              num_backups                              h1_czb_mass 
                 1.6738156569161223E-003                                        1                  1.9094073537115110E-007                  1.4000000000002650E+000                 -6.7191014091670613E+000                                     1444                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000005271E+033                  2.7848800000005271E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4000000000002650E+000                  1.0000000000001894E+000                 -3.9051058281312356E-001                 -2.1771268473121399E+001                 -2.8789701616215319E-001                 -1.4475855883992819E+000                  6.1107705475203984E+000                 -4.8422307666692461E+000                  1.4384259643066873E+001                  7.7477148854912334E+000                  6.6818172208897479E+000                  2.3388058738679064E+001                  6.9421963082212358E+001                  4.6428571428571430E-001                  1.0000000000000362E-099                  1.0000000000000362E-099                  1.0000000000000362E-099                  1.0000000000000362E-099                  3.4003423694724815E-003                  9.3356866700306969E-003                 -1.3146677653539729E+001                  7.5254948417509170E+012                  7.7337708956487496E+000                  5.4801138240738974E+000                  1.3999999999999999E+000                  6.0001752425623565E+000                  5.1758296567246920E-009                  7.7337708956487496E+000                  5.4801138240738974E+000                  1.3999999999999999E+000                  6.0001752425623565E+000                  0.0000000000000000E+000                                        0                                        0                  0.0000000000000000E+000 
                 3.8351918383333333E-001                                        4                  4.3750000000000000E-005                  1.4000000000002659E+000                 -5.2041199826559241E+000                                      504                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9996252098042815E-001                  9.9985595132126093E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000005289E+033                  2.7848800000005289E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4000000000002659E+000                  1.0000000000001901E+000                 -1.7874382909656758E-001                 -2.0881478303934617E+001                 -2.2916438952714047E-001                 -1.2220908261221926E+000                  6.1254528096040701E+000                 -4.8422289775190848E+000                  1.4384255434665478E+001                  7.8136599605388390E+000                  6.6816152825955522E+000                  2.3388069323331472E+001                  5.9620152412868308E+001                  4.6428571428571419E-001                  1.0000000000000362E-099                  1.0000000000000362E-099                  1.0000000000000362E-099                  1.0000000000000362E-099                  3.4007681581010047E-003                  9.3360316220847360E-003                 -1.3144195980703062E+001                  1.2016104972582156E+013                  7.7584420856418888E+000                  5.4794286351778982E+000                  1.3999999999999999E+000                  6.0001752935075103E+000                  4.1109436884928243E-008                  7.7584420856418888E+000                  5.4794286351778982E+000                  1.3999999999999999E+000                  6.0001752935075103E+000                  0.0000000000000000E+000                                        4                                        1                  0.0000000000000000E+000 
                 5.4604567982499874E-001                                       10                  6.2290230839470601E-005                  1.4000000000002661E+000                 -5.6613037885873583E+000                                      489                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998767445873249E-001                  9.9977179029067498E-001                  9.9999485200382621E-001                  9.9999264163497248E-001                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000005295E+033                  2.7848800000005295E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4000000000002661E+000                  1.0000000000001901E+000                  9.7290827874923902E-001                 -9.2789531580820697E+000                  8.1880372334998586E-001                  8.3540451513707592E-002                  6.3874264830726233E+000                 -4.8421922680176275E+000                  1.4384169088324507E+001                  7.8819007049441598E+000                  6.6813644403441028E+000                  2.3388093946176930E+001                  5.0926789343259500E+001                  4.6428571428571430E-001                  1.0000000000000362E-099                  1.0000000000000362E-099                  1.0000000000000362E-099                  1.0000000000000362E-099                  3.4003448975014157E-003                  9.3357268101365819E-003                 -1.3136365588278505E+001                  7.9456413887102875E+013                  8.0404505199435441E+000                  5.2790884725046796E+000                  1.4000000000001094E+000                  6.0002084653264980E+000                  1.2831971971249428E+004                  8.0434798532784697E+000                  5.4457083495722092E+000                  1.3999999999999999E+000                  6.0001761238326186E+000                  0.0000000000000000E+000                                        6                                        1                  0.0000000000000000E+000 
                 5.3323269762769074E+000                                       20                  6.0828588254791362E-004                  1.4000000000002755E+000                 -3.9999999999999996E+000                                      493                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000005479E+033                  2.7848800000005479E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4000000000002755E+000                  1.0000000000001967E+000                  1.0118856675253090E+000                 -6.7712807545525253E+000                  1.0236683671421383E+000                  1.4649136870774482E-001                  6.4386463500615347E+000                 -4.8421996800993723E+000                  1.4384186522520132E+001                  8.1148512211500226E+000                  6.6799294424001676E+000                  2.3388904737497448E+001                  2.9682833314789633E+001                  4.6428571428571419E-001                  1.0000000000000360E-099                  1.0000000000000360E-099                  1.0000000000000360E-099                  1.0000000000000360E-099                  3.3067732299513529E-003                  9.0246663778067726E-003                 -1.2869972050214123E+001                  7.7350919091058609E+013                  8.0938871373903574E+000                  5.5190006442561703E+000                  1.3999999999999999E+000                  6.0001763274371509E+000                  5.0530718794750804E+006                  8.0938871373903574E+000                  5.5190006442561703E+000                  1.3999999999999999E+000                  6.0001763274371509E+000                  0.0000000000000000E+000                                        6                                        1                  0.0000000000000000E+000 
                 1.4098479749610240E+001                                       30                  1.6082858825479133E-003                  1.4000000000002926E+000                 -3.9999999999999996E+000                                      492                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9068021761777814E-001                  9.8985847199255694E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000005819E+033                  2.7848800000005819E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4000000000002926E+000                  1.0000000000002089E+000                  1.0245099146337342E+000                 -5.7772408742283670E+000                  1.0359806134380531E+000                  1.5827187938397044E-001                  6.4417392580648425E+000                 -4.8422293729580312E+000                  1.4384256364808286E+001                  8.1087336350134613E+000                  6.6808390276236560E+000                  2.3390152335815610E+001                  3.0140236790678294E+001                  4.6428571428571430E-001                  1.0000000000000360E-099                  1.0000000000000360E-099                  1.0000000000000360E-099                  1.0000000000000360E-099                  3.3325571305665258E-003                  9.0905895090271638E-003                 -1.2595099433232221E+001                  7.8350914658047438E+013                  8.0300850044501253E+000                  5.2504821771869370E+000                  1.4000000000002253E+000                  6.0002218611463283E+000                  4.4771521552800283E+007                  8.0869188426426764E+000                  5.7117360042406027E+000                  1.3999999999999999E+000                  6.0001746178355768E+000                  0.0000000000000000E+000                                        6                                        1                  0.0000000000000000E+000 
                 1.7631360806745889E+001                                       40                  2.0112997414761637E-003                  1.4000000000002992E+000                 -4.1407392525903894E+000                                      506                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848799999999997E+033                  1.4000000000001545E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4477308241112041E-013                  1.0000000000000000E+000                 -2.1222693069151082E+000                 -2.2877759372737756E+001                 -4.9357965368372780E-001                 -3.3454665908331367E+000                  6.0593712423945894E+000                 -4.8422734751784171E+000                  1.4384360102437647E+001                  7.7922416619611079E+000                  6.6832197637918789E+000                  2.3390362797788892E+001                  6.2760738166948059E+001                  4.6428571428571430E-001                  1.0000000000000360E-099                  1.0000000000000360E-099                  1.0000000000000360E-099                  1.0000000000000360E-099                  3.2411028996071527E-003                  9.1938751276086691E-003                 -1.2575061805747405E+001                  1.2440062992064093E+011                  7.6156943762582854E+000                  5.0514640840645697E+000                  1.4000000000002621E+000                  6.0002261813975100E+000                  3.4907394592351620E-010                  7.6478520571789970E+000                  5.7605323191284636E+000                  1.3999999999999999E+000                  6.0001720378681140E+000                  0.0000000000000000E+000                                        7                                        1                  0.0000000000000000E+000 
                 2.6397513580079238E+001                                       50                  3.0112997414761650E-003                  1.4000000000003163E+000                 -3.9999999999999996E+000                                      506                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9947767882279437E-001                  9.9807805019526685E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000006292E+033                  2.7848800000006292E+033                  1.4000000000001545E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6187051699034782E-013                  1.0000000000000000E+000                 -2.5270022565202725E+000                 -2.3835205054167396E+001                 -5.7519222868504249E-001                 -3.7476010506560193E+000                  6.0389656931948581E+000                 -4.8422686642796098E+000                  1.4384348786068665E+001                  7.7628810661433487E+000                  6.6841426178571126E+000                  2.3391607103318982E+001                  6.7230190089886733E+001                  4.6428571428571430E-001                  1.0000000000000358E-099                  1.0000000000000358E-099                  1.0000000000000358E-099                  1.0000000000000358E-099                  3.3421985242987028E-003                  9.2911979475959871E-003                 -1.2567840552372823E+001                  6.1050714333806808E+010                  7.5998543827760496E+000                  5.1230907618592747E+000                  1.4000000000002648E+000                  6.0002206623524179E+000                  3.6361454069149595E-011                  7.6235312537961892E+000                  5.7768801946961883E+000                  1.3999999999999999E+000                  6.0001704754076863E+000                  0.0000000000000000E+000                                        7                                        1                  0.0000000000000000E+000 
                 3.5163666353412580E+001                                       60                  4.0112997414761663E-003                  1.4000000000003334E+000                 -3.9999999999999996E+000                                      505                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9982050233935715E-001                  9.9647723769891172E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000006626E+033                  2.7848800000006632E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.4000000000001545E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7896795156957523E-013                  1.0000000000000000E+000                 -2.3607232778772240E+000                 -2.3617505180490571E+001                 -5.7267760149615565E-001                 -3.5442252223050796E+000                  6.0395917679535014E+000                 -4.8422635002024554E+000                  1.4384336638976492E+001                  7.7625471807257300E+000                  6.6849070856864188E+000                  2.3392750133599154E+001                  6.7345298682538314E+001                  4.6428571428571430E-001                  1.0000000000000358E-099                  1.0000000000000358E-099                  1.0000000000000358E-099                  1.0000000000000358E-099                  3.3692302710687165E-003                  9.3366455495462446E-003                 -1.2560846380901287E+001                  1.0929217928910190E+011                  7.6054720475914577E+000                  5.1164628205489944E+000                  1.4000000000002726E+000                  6.0002190103625965E+000                  5.6746605529801301E-011                  7.6269703704790111E+000                  5.7913501774520766E+000                  1.3999999999999999E+000                  6.0001690628187960E+000                  0.0000000000000000E+000                                        7                                        1                  0.0000000000000000E+000 
                 4.3929819126745890E+001                                       70                  5.0112997414761638E-003                  1.4000000000003503E+000                 -3.9999999999999996E+000                                      513                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9982050233935715E-001                  9.9433805707014677E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000006966E+033                  2.7848800000006966E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.4000000000001545E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9584334154387761E-013                  1.0000000000000000E+000                 -2.2196263454667031E+000                 -2.3430270834968773E+001                 -5.6974880528268568E-001                 -3.3987923456383680E+000                  6.0403217836292908E+000                 -4.8422591334472989E+000                  1.4384326367397032E+001                  7.7620252309335243E+000                  6.6856766466323849E+000                  2.3393899883440145E+001                  6.7490257801050205E+001                  4.6428571428571419E-001                  1.0000000000000358E-099                  1.0000000000000358E-099                  1.0000000000000358E-099                  1.0000000000000358E-099                  3.3752631133609047E-003                  9.3359002891633350E-003                 -1.2553863450444476E+001                  1.6569037418306860E+011                  7.6119106127334097E+000                  5.1861520930648650E+000                  1.4000000000002726E+000                  6.0002139870421143E+000                  8.2943570670276515E-011                  7.6298136571915762E+000                  5.8051303183847613E+000                  1.3999999999999999E+000                  6.0001677007095768E+000                  0.0000000000000000E+000                                        7                                        1                  0.0000000000000000E+000 
