                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        7623      1.5000000000000000E+001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups 
                                       1                  1.0000000000000001E-005                  1.5000000000000000E+001                 -4.9999999999999991E+000                  3.4474769709615863E+001                 -9.8999999999999986E+001                                      450                  3.5687564612416273E-004                  9.9996410039859829E-001                  9.0509077233926774E-002                  5.6230195290154494E-002                  1.6804579638041864E-003                  9.9996410039859829E-001                  9.0509077233926774E-002                  5.6230195290154494E-002                  1.6804579638041864E-003                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1791997357828400E+001                 -9.8999999999999986E+001                 -3.7327719462333661E+001                 -2.1791997357828400E+001                  3.5534225616846271E+000                  1.6413376727357776E+004                  4.2151979377378561E+000                  2.5240126819523008E+000                  5.6595524856420487E-001                  3.6809104211897989E+000                  5.4767179100726322E+000                 -5.4219723962846675E+000                  8.2354498638962870E+000                  6.2095156311988831E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120415E-003                  9.3604466091399760E-003                  3.4416106108120254E-003                  9.3604466091399777E-003                  1.0500000000000002E+001                  4.1995530354712320E+000                 -2.1791997357828400E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0999298660317194E-001                                        0                                        0 
                                       5                  7.4416000000000000E-005                  1.5000000000000000E+001                 -4.6832750158095005E+000                  3.4474769709615863E+001                 -9.8999999999999986E+001                                      450                  3.6095554873847219E-004                  9.9996410039859829E-001                  9.0500925867177437E-002                  5.6230195290154494E-002                  1.6804612605873499E-003                  9.9996410039859829E-001                  9.0500925867177437E-002                  5.6230195290154494E-002                  1.6804612605873499E-003                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1791990558867635E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1791990558867635E+001                  3.5533672327671328E+000                  1.6405182849538236E+004                  4.2149810753257189E+000                  2.5240149085812207E+000                  5.6595079530636450E-001                  3.6808726773090124E+000                  5.4767176275963765E+000                 -5.4219702821563764E+000                  8.2354513733953478E+000                  6.2095157057046890E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120415E-003                  9.3604466091399760E-003                  3.4416106108120250E-003                  9.3604466091399777E-003                  1.0500000000000002E+001                  4.1995530354712320E+000                 -2.1791990558867635E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  9.3388310199001151E-002                                        0                                        0 
                                      10                  2.5958682111999992E-004                  1.5000000000000000E+001                 -4.2873687855713767E+000                  3.4474769709615863E+001                 -9.8999999999999986E+001                                      450                  5.6014548037126703E-004                  9.9996410039859829E-001                  9.0498509495695281E-002                  5.6230195290154494E-002                  1.6805069439507318E-003                  9.9996410039859829E-001                  9.0498509495695281E-002                  5.6230195290154494E-002                  1.6805069439507318E-003                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1791981412491889E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1791981412491889E+001                  3.5531541362474024E+000                  1.6373468439023629E+004                  4.2141406870095608E+000                  2.5240209074626034E+000                  5.6593879754359977E-001                  3.6807709914046658E+000                  5.4767174761847519E+000                 -5.4219645550691844E+000                  8.2354549533205326E+000                  6.2095156311988831E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120415E-003                  9.3604466091399760E-003                  3.4416106108120246E-003                  9.3604466091399777E-003                  1.0500000000000002E+001                  4.1995530354712320E+000                 -2.1791981412491889E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  9.1127361032189713E-002                                        0                                        0 
                                      15                  7.2035107872931792E-004                  1.5000000000000000E+001                 -3.8914625553332525E+000                  3.4474769709615863E+001                 -9.8999999999999986E+001                                      450                  5.6085302912830387E-004                  9.9996410039859829E-001                  8.4609910995593174E-002                  5.6230195290154494E-002                  1.6805657383281577E-003                  9.9996410039859829E-001                  8.4609910995593174E-002                  5.6230195290154494E-002                  1.6805657383281577E-003                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1791931212984426E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1791931212984426E+001                  3.5526791758346761E+000                  1.6303605676846943E+004                  4.2122836628325899E+000                  2.5240423161995689E+000                  5.6589598006966835E-001                  3.6804081188521285E+000                  5.4767196469733053E+000                 -5.4219538939649681E+000                  8.2354683963730864E+000                  6.2095157057046890E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120415E-003                  9.3604466091399760E-003                  3.4416106108120233E-003                  9.3604466091399777E-003                  1.0500000000000002E+001                  4.1995530354712329E+000                 -2.1791931212984426E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.6363428578561076E-001                                        0                                        0 
                                      20                  1.8668799962237360E-003                  1.5000000000000000E+001                 -3.4955563250951283E+000                  3.4474769709615863E+001                 -9.8999999999999986E+001                                      450                  5.5677687586230611E-004                  9.9996410039859829E-001                  7.8706269791310277E-002                  6.1689926051762045E-002                  1.6806634924256788E-003                  9.9996410039859829E-001                  7.8706269791310277E-002                  6.1689926051762045E-002                  1.6806634924256788E-003                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1791853932270140E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1791853932270140E+001                  3.5526474234874672E+000                  1.6306486479805864E+004                  4.2123603947121415E+000                  2.5241441868337628E+000                  5.6569223880128061E-001                  3.6786819280123804E+000                  5.4767259895991547E+000                 -5.4219359973972265E+000                  8.2354918477952257E+000                  6.2095156311988831E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120415E-003                  9.3604466091399760E-003                  3.4416106108120233E-003                  9.3604466091399777E-003                  1.0500000000000002E+001                  4.1995530354712320E+000                 -2.1791853932270140E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  2.9313183406286375E-001                                        0                                        0 
                                      25                  4.7198108322034464E-003                  1.5000000000000000E+001                 -3.0996500948570045E+000                  3.4474769709615863E+001                 -9.8999999999999986E+001                                      449                  2.4494445761147305E-004                  9.9996410039859829E-001                  2.3156789632390818E-004                  1.0000398362521382E-005                  7.8128112201980571E-008                  9.9996410039859829E-001                  2.3156789632390818E-004                  1.0000398362521382E-005                  7.8128112201980571E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1792139327105549E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1792139327105549E+001                  3.5549942379522412E+000                  1.6690163984175782E+004                  4.2224606037297434E+000                  2.5245006624130153E+000                  5.6497928764277561E-001                  3.6726478450115896E+000                  5.4767226766956147E+000                 -5.4220736957413704E+000                  8.2353674049305550E+000                  6.2095157057046890E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120415E-003                  9.3604466091399760E-003                  3.4416106108120228E-003                  9.3604466091399777E-003                  1.0500000000000002E+001                  4.1995530354712329E+000                 -2.1792139327105549E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  3.4456158197593778E-001                                        0                                        0 
                                      30                  1.1818815689988476E-002                  1.5000000000000000E+001                 -2.7037438646188803E+000                  3.4474769709615863E+001                 -9.8999999999999986E+001                                      447                  0.0000000000000000E+000                  9.9995968921914613E-001                  2.3232982402987020E-004                  1.2500497956619006E-006                  1.5720257761274367E-007                  9.9995968921914613E-001                  2.3232982402987020E-004                  1.2500497956619006E-006                  1.5720257761274367E-007                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1792765606411646E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1792765606411646E+001                  3.5606420759174373E+000                  1.7651505983653991E+004                  4.2467817642558181E+000                  2.5253655667456600E+000                  5.6324947897748612E-001                  3.6580486662150720E+000                  5.4767206509808322E+000                 -5.4223412252555612E+000                  8.2351288338980897E+000                  6.2095155566930771E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120415E-003                  9.3604466091399760E-003                  3.4416106108120224E-003                  9.3604466091399777E-003                  1.0500000000000002E+001                  4.1995530354712338E+000                 -2.1792765606411646E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  2.9724724808610836E-001                                        0                                        0 
                                      35                  2.9483411457712123E-002                  1.5000000000000000E+001                 -2.3078376343807565E+000                  3.4474769709615863E+001                 -9.8999999999999986E+001                                      451                  7.4890238255581994E-005                  9.9995074756103652E-001                  2.3141559560852580E-004                  2.5000995906715451E-006                  7.8128112201980571E-008                  9.9995074756103652E-001                  2.3141559560852580E-004                  2.5000995906715451E-006                  7.8128112201980571E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1792811279955846E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1792811279955846E+001                  3.5681545771608261E+000                  1.9051163212976542E+004                  4.2799214976785303E+000                  2.5269104309702390E+000                  5.6015975052832778E-001                  3.6321163367217602E+000                  5.4767907076929561E+000                 -5.4223321304135794E+000                  8.2352316748704268E+000                  6.2095156311988831E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120415E-003                  9.3604466091399760E-003                  3.4416106108120220E-003                  9.3604466091399777E-003                  1.0500000000000002E+001                  4.1995530354712338E+000                 -2.1792811279955846E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  2.0865431013024327E-001                                        0                                        0 
                                      40                  7.3438578398454205E-002                  1.5000000000000000E+001                 -1.9119314041426323E+000                  3.4474769709615863E+001                 -9.8999999999999986E+001                                      453                  1.5933245676143415E-005                  9.9992768730756132E-001                  1.2227754208630462E-004                  6.2502489776850023E-007                  7.8128112201980571E-008                  9.9992768730756132E-001                  1.2227754208630462E-004                  6.2502489776850023E-007                  7.8128112201980571E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1791928429413630E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1791928429413630E+001                  3.5745328734565227E+000                  2.0420067422053809E+004                  4.3100571716871094E+000                  2.5292216753831358E+000                  5.5553726170253503E-001                  3.5936622842291994E+000                  5.4769814392414746E+000                 -5.4219386259625439E+000                  8.2358363200740907E+000                  6.2095147371292114E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120415E-003                  9.3604466091399760E-003                  3.4416106108120211E-003                  9.3604466091399777E-003                  1.0500000000000002E+001                  4.1995530354712338E+000                 -2.1791928429413630E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.1495889427318905E-001                                        0                                        0 
